ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
Hell on Wheels,2011,20112016,TV14,42 mn,Drama, Western,,"['Anson Mount, ', 'Colm Meaney, ', 'Robn McLeavy, ', 'Phl Burke']","52,166","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, oneeyed Elle.",8
Henry Danger,2014,20142020,TVG,30 mn,Acton, Comedy, Famly,"['Jace Norman, ', 'Cooper Barnes, ', 'Rele Downs, ', 'Sean Ryan Fox']","5,633","When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",6.1
Love and Monsters,2020,2020,PG13,109 mn,Acton, Adventure, Comedy,"['Mchael Matthews', '| ', '    Stars:', ""Dylan O'Bren, "", 'Jessca Henwck, ', 'Mchael Rooker, ', 'Dan Ewng']","126,227","Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",7.5
Dsenchantment,2018,2018,TVMA,30 mn,Anmaton, Acton, Adventure,"['Abb Jacobson, ', 'Erc André, ', 'Nat Faxon, ', 'John DMaggo']","61,178","An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",5.7
Prncess Mononoke,1997,1997,PG13,134 mn,Anmaton, Acton, Adventure,"['Hayao Myazak', '| ', '    Stars:', 'Yôj Matsuda, ', 'Yurko shda, ', 'Yûko Tanaka, ', 'Blly Crudup']","390,689","On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a smalltown police stationbut when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",6.2
The Legend of Korra,2012,20122014,TVPG,23 mn,Anmaton, Acton, Adventure,"['Janet Varney, ', 'P.J. Byrne, ', 'Davd Faustno, ', 'J.K. Smmons']","120,855","A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel MobyDick.",6.9
The Call,2020,2020,TVMA,112 mn,Crme, Horror, Mystery,"['ChungHyun Lee', '| ', '    Stars:', 'Park ShnHye, ', 'Jeon Jongseo, ', 'Km Sungryung, ', 'Lee El']","32,424","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the griefstricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love.",6.3
Atomc Blonde,2017,2017,R,115 mn,Acton, Thrller,,"['Davd Letch', '| ', '    Stars:', 'Charlze Theron, ', 'James McAvoy, ', 'John Goodman, ', 'Edde Marsan']","193,383",Zach Galifianakis and his oddball crew take a road trip to complete a series of highprofile celebrity interviews.,6.1
Fear Street: Part Two  1978,2021,2021,R,109 mn,Drama, Horror, Mystery,"['Legh Janak', '| ', '    Stars:', 'Sade Snk, ', 'Emly Rudd, ', 'Ryan Smpkns, ', 'McCabe Slye']","62,722","While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",6.3
Copenhagen Cowboy,2022,2022,,,Crme, Drama,,"['Per Thm Thm, ', 'Ramadan Husen, ', 'Angela Bundalovc, ', 'Zlatko Burc']",37,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",6.9
The Expendables 2,2012,2012,R,103 mn,Acton, Adventure, Thrller,"['Smon West', '| ', '    Stars:', 'Sylvester Stallone, ', 'Lam Hemsworth, ', 'Randy Couture, ', 'JeanClaude Van Damme']","307,174",A coverup spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,7.2
ndan Predator: The Dary of a Seral Kller,2022,2022,,123 mn,Documentary, Crme, Hstory,[],"1,077","When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city.",7.3
The Rtual,2017,2017,TVMA,94 mn,Horror, Mystery, Thrller,"['Davd Bruckner', '| ', '    Stars:', 'Rafe Spall, ', 'Arsher Al, ', 'Robert JamesColler, ', 'Sam Troughton']","99,253",Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties.,7.4
When They See Us,2019,2019,TVMA,296 mn,Bography, Crme, Drama,"['Asante Blackk, ', 'Caleel Harrs, ', 'Ethan Hersse, ', 'Marqus Rodrguez']","119,339","During a visit to his motherland, a KoreanItalian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",8.4
Scaro: Day of the Soldado,2018,2018,R,122 mn,Acton, Adventure, Crme,"['Stefano Sollma', '| ', '    Stars:', 'Benco Del Toro, ', 'Josh Broln, ', 'sabela Merced, ', 'Jeffrey Donovan']","147,136","At a historic Istanbul hotel, a journalist is thrust into the past and must stop a plot that could change the fate of modern Turkey.",7.1
The Real Housewves of Beverly Hlls,2010,2010,TV14,44 mn,RealtyTV,,,"['Kyle Rchards, ', 'Adrenne Maloof, ', 'Camlle Grammer, ', 'Lsa Vanderpump']","6,393",A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,6.3
The Emperor's New Groove,2000,2000,G,78 mn,Anmaton, Adventure, Comedy,"['Mark Dndal', '| ', '    Stars:', 'Davd Spade, ', 'John Goodman, ', 'Eartha Ktt, ', 'Patrck Warburton']","203,092","Atticus Finch, a widowed lawyer in Depressionera Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",8.3
The Htman's Bodyguard,2017,2017,R,118 mn,Acton, Comedy, Crme,"['Patrck Hughes', '| ', '    Stars:', 'Ryan Reynolds, ', 'Samuel L. Jackson, ', 'Gary Oldman, ', 'Elode Yung']","230,164",A woman is rescued from a doomsday cult and starts life over again in New York City.,7.6
Monster Hunter,2020,2020,PG13,103 mn,Acton, Adventure, Fantasy,"['Paul W.S. Anderson', '| ', '    Stars:', 'Mlla Jovovch, ', 'Tony Jaa, ', 'Ron Perlman, ', 'T..']","58,347","A British diplomat travels to Munich in the runup to World War II, where a former classmate of his from Oxford is also en route, but is working for the German government.",6.8
Between,2015,20152016,TV14,60 mn,Drama, Mystery, ScF,"['Jennette McCurdy, ', 'Jesse Carere, ', 'Justn Kelly, ', 'Kyle Mac']","9,252",The misadventures of a KoreanCanadian family running a convenience store.,8.2
The Amazng World of Gumball,2011,20112019,TVY7FV,11 mn,Anmaton, Short, Adventure,"['Dan Russell, ', 'Teresa Gallagher, ', 'Kerry Shale, ', 'Kyla Rae Kowalewsk']","31,652",A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,7.7
,,,,,,,,,,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.",7.3
Geostorm,2017,2017,PG13,109 mn,Acton, ScF, Thrller,"['Dean Devln', '| ', '    Stars:', 'Gerard Butler, ', 'Jm Sturgess, ', 'Abbe Cornsh, ', 'Alexandra Mara Lara']","108,072","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",8
Metal Lords,2022,2022,R,97 mn,Comedy, Musc,,"['Peter Sollett', '| ', '    Stars:', 'Jaeden Martell, ', 'Adran Greensmth, ', 'ss Hansworth, ', 'Noah Urrea']","26,266","Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.",8.5
Robn Hood: Prnce of Theves,1991,1991,PG13,143 mn,Acton, Adventure, Drama,"['Kevn Reynolds', '| ', '    Stars:', 'Kevn Costner, ', 'Morgan Freeman, ', 'Mary Elzabeth Mastrantono, ', 'Chrstan Slater']","193,725",A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,6.8
Darlngs,2022,2022,TV14,133 mn,Comedy, Drama, Thrller,"['Jasmeet K Reen', '| ', '    Stars:', 'Ala Bhatt, ', 'Shefal Shah, ', 'Vjay Varma, ', 'Roshan Mathew']","16,317",Three close friends set off on a journey to Ayvalik and then to their reshaped future.,6.3
Steven Unverse,2013,20132020,TVPG,11 mn,Anmaton, Acton, Adventure,"['Zach Callson, ', 'Deedee Magno, ', 'Mchaela Detz, ', 'Estelle']","33,505","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",8.6
Harspray,2007,2007,PG,117 mn,Comedy, Drama, Muscal,"['Adam Shankman', '| ', '    Stars:', 'John Travolta, ', 'Queen Latfah, ', 'Nkk Blonsky, ', 'Mchelle Pfeffer']","130,694",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,8
Escape Room,2019,2019,PG13,99 mn,Acton, Adventure, Horror,"['Adam Robtel', '| ', '    Stars:', 'Taylor Russell, ', 'Logan Mller, ', 'Jay Ells, ', 'Tyler Labne']","121,675",Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,7.2
"Extremely Wcked, Shockngly Evl and Vle",2019,2019,R,110 mn,Bography, Crme, Drama,"['Joe Berlnger', '| ', '    Stars:', 'Lly Collns, ', 'Zac Efron, ', 'Angela Sarafyan, ', 'Sydney Vollmer']","93,449","A college student moonlighting as a chauffeur picks up two mysterious women for a night of partyhopping across LA. But when he uncovers their bloodthirsty intentions  and their dangerous, shadowy underworld  he must fight to stay alive.",5.6
Sweet Tooth,2021,2021,TV14,,Acton, Adventure, Drama,"['Nonso Anoze, ', 'Chrstan Convery, ', 'Alza Vellan, ', 'Adeel Akhtar']","51,170","A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",5.9
nto the Badlands,2015,20152019,TV14,42 mn,Acton, Adventure, Drama,"['Danel Wu, ', 'Orla Brady, ', 'Emly Beecham, ', 'Arams Knght']","46,547","A lazy, incompetent middle school teacher who hates her job, her students, and her coworkers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.",5.6
Spartacus: Gods of the Arena,2011,2011,TVMA,331 mn,Acton, Adventure, Bography,"['John Hannah, ', 'Manu Bennett, ', 'Peter Mensah, ', 'Dustn Clare']","137,339",Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominouslooking snowman.,5.1
Newness,2017,2017,Unrated,117 mn,Drama, Romance,,"['Drake Doremus', '| ', '    Stars:', 'Ncholas Hoult, ', 'Laa Costa, ', 'Danny Huston, ', 'Courtney Eaton']","16,901","In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.",6.7
Santa Clarta Det,2017,20172019,TVMA,30 mn,Comedy, Horror,,"['Drew Barrymore, ', 'Tmothy Olyphant, ', 'Lv Hewson, ', 'Skyler Gsondo']","67,529",A high school student is forced to confront her secret crush at a kissing booth.,5.9
,,,,,,,,,,"After being forced to take a room in a boardinghouse, an immigrant in search of the American Dream finds herself in a nightmare she can't escape.",5.3
Man vs. Bee,2022,2022,TVPG,,Short, Comedy, Famly,"['Rowan Atknson, ', 'Pno Maello, ', 'Claude Blakley, ', 'Jng Lus']","26,558","To save a kidnapped family member, an enterprising furniture tycoon must use his secret diamond smuggling operation to transport guns across the border.",5.4
Thngs Heard & Seen,2021,2021,TVMA,121 mn,Drama, Horror, Mystery,"['Shar Sprnger Berman, ', 'Robert Pulcn', '| ', '    Stars:', 'Amanda Seyfred, ', 'James Norton, ', 'Natala Dyer, ', 'Alex Neustaedter']","31,421",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,5.1
Gullermo del Toro's Cabnet of Curostes,2022,2022,,,Drama, Horror, Mystery,"['Kevn Keppy, ', 'Megan Many, ', 'sh Morrs, ', 'smael Cruz Cordova']",,"Deep in the Dovre mountain, something gigantic wakes up after a thousand years in captivity. The creature destroys everything in its path and quickly approaches Oslo.",
Tmeless,2016,20162018,TV14,60 mn,Acton, Adventure, Drama,"['Abgal Spencer, ', 'Matt Lanter, ', 'Malcolm Barrett, ', 'Paterson Joseph']","42,921","A weekend getaway to Croatia that goes awry when a woman is accused of killing her best friend. As she attempts to clear her name and uncover the truth, her efforts unearth a painful secret.",5.6
Grl n the Pcture,2022,2022,TVMA,101 mn,Documentary, Crme, Mystery,"['Skye Borgman', '| ', '    Stars:', 'Karen Parsley, ', 'Charles Engles, ', 'Merle Bean, ', 'Ernest Bean']","16,008","Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",6
Hush,2016,2016,R,82 mn,Horror, Thrller,,"['Mke Flanagan', '| ', '    Stars:', 'John Gallagher Jr., ', 'Kate Segel, ', 'Mchael Trucco, ', 'Samantha Sloyan']","132,650","Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.",8.4
Neon Geness Evangelon,1995,19951996,TVMA,24 mn,Anmaton, Acton, Drama,"['Megum Ogata, ', 'Megum Hayashbara, ', 'Kotono Mtsush, ', 'Spke Spencer']","68,559","When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",6.6
Waterworld,1995,1995,PG13,177 mn,Acton, Adventure, ScF,"['Kevn Reynolds', '| ', '    Stars:', 'Kevn Costner, ', 'Jeanne Trpplehorn, ', 'Denns Hopper, ', 'Tna Majorno']","196,460","After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demonhunting nuns.",6.9
The Cuphead Show!,2022,2022,TVY7,12 mn,Anmaton, Short, Acton,"['Tru Valentno, ', 'Frank Todaro, ', 'Joe Hanna, ', 'Davd Wasson']","7,414",A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.,8.5
A Perfect Parng,2022,2022,TV14,101 mn,Comedy, Romance,,"['Stuart McDonald', '| ', '    Stars:', 'Vctora Justce, ', 'Adam Demos, ', 'Luca Asta Sardels, ', 'Samantha Can']","11,632","In 1667, 28yearold allpowerful king of France, Louis XIV, decides to build the greatest palace in the world  Versailles. But drained budget, affairs and political intrigues complicate things.",7.9
Kll Bll: Vol. 2,2004,2004,R,137 mn,Acton, Crme, Thrller,"['Quentn Tarantno', '| ', '    Stars:', 'Uma Thurman, ', 'Davd Carradne, ', 'Mchael Madsen, ', 'Daryl Hannah']","749,653","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an allpowerful empire.",8.7
Rampage,2018,2018,PG13,107 mn,Acton, Adventure, ScF,"['Brad Peyton', '| ', '    Stars:', 'Dwayne Johnson, ', 'Naome Harrs, ', 'Maln Akerman, ', 'Jeffrey Dean Morgan']","167,170","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",8.1
Contact,1997,1997,PG,150 mn,Drama, Mystery, ScF,"['Robert Zemecks', '| ', '    Stars:', 'Jode Foster, ', 'Matthew McConaughey, ', 'Tom Skerrtt, ', 'John Hurt']","274,308",A punk rock band is forced to fight for survival after witnessing a murder at a neoNazi skinhead bar.,7
The Woman n the Wndow,2021,2021,R,100 mn,Crme, Drama, Mystery,"['Joe Wrght', '| ', '    Stars:', 'Amy Adams, ', 'Gary Oldman, ', 'Anthony Macke, ', 'Fred Hechnger']","74,469","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",9.1
Copshop,2021,2021,R,107 mn,Acton, Thrller,,"['Joe Carnahan', '| ', '    Stars:', 'Gerard Butler, ', 'Frank Grllo, ', 'Alexs Louder, ', 'Toby Huss']","30,767","A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",6.8
n the Heart of the Sea,2015,2015,PG13,122 mn,Acton, Adventure, Bography,"['Ron Howard', '| ', '    Stars:', 'Chrs Hemsworth, ', 'Cllan Murphy, ', 'Brendan Gleeson, ', 'Ben Whshaw']","139,010","Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.",8.3
The Starlng,2021,2021,PG13,102 mn,Comedy, Drama,,"['Theodore Melf', '| ', '    Stars:', 'Melssa McCarthy, ', ""Chrs O'Dowd, "", 'Kevn Klne, ', 'Tmothy Olyphant']","13,097","In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",6.5
